Date,Time,Operator,Flight_No,AC_Type,Registration,cn_ln,Ground,Decade,City,Country,US_State,Total_abroad,Passengers_abroad,Crew_abroad,Total_fatalities,Passengers_fatalities,Crew_fatalities,Source,Destination,Total_survivors,Passengers_survivors,Crew_survivors,Survival_rate,Type,Month,Day_of_week,Continent
2011-07-08,15:00:00,Hewa Bora Airways,952,Boeing B-727-100,9Q-COP,18933,0,2010,Kisangani,Congo,,115,108,7,77,72,5,Kinshasa,Kisangani,38,36,2,33.04347826086956,Passenger,July,Friday,Africa
2011-07-06,23:00:00,Silk Way Airlines,?,Ilyushin76TD,4K-AZ55,2053420680,0,2010,Near Bagram Air Base,Afghanistan,,9,0,9,9,0,9,"Baku, Azerbaijan","Bagram Air Base, Afghanistan",0,0,0,0.0,Passenger,July,Wednesday,Asia
2011-06-20,23:40:00,RusAir Airlines,7R-243,Tupolev Tu-134,RA-65691,63195/5703,0,2010,Petrozavodsk,Russia,,52,43,9,47,39,8,Moscow,Petrozavodsk,5,4,1,9.615384615384617,Passenger,June,Monday,Europe
2011-05-18,20:53:00,SOL Lineas Aereas,5428,Saab 340A,LV-CEJ,25,0,2010,Near Prahuaniyeu,Argentina,,22,19,3,22,19,3,Neuquen,Comodoro Rivadavia,0,0,0,0.0,Passenger,May,Wednesday,South America
2011-05-07,14:00:00,Merpati Nusantara Airlines,?,Xian MA-60,PK-MZK,603,0,2010,Off Kaimana,Indonesia,,27,21,6,27,21,6,Sorong,Kaimana,0,0,0,0.0,Passenger,May,Saturday,Asia
2011-04-21,14:52:00,AmazonavesAir Taxi,?,Embraer/Piper EMB-810C Seneca,PT-EFS,810055,0,2010,Manaus,Brazil,,7,6,1,7,6,1,Manaus,Santarem,0,0,0,0.0,Passenger,April,Thursday,South America
2011-04-19,13:57:00,Pawan Hans Helicopters Ltd.,?,Mil Mi-172,VT-PHF,356C06,0,2010,Tawang,India,,23,,,18,,,,?,5,,,21.73913043478261,Passenger,April,Tuesday,Asia
2011-04-04,13:30:00,United Nations,834,Canadair CL-600 CRJ-100ER,4L-GAE,7070,0,2010,Kinshasa,Congo,,33,29,4,32,28,4,Kisangani,Kinshasa,1,1,0,3.0303030303030303,Passenger,April,Monday,Africa
2011-03-21,15:30:00,Trans Air Cargo,?,Antonov 12BP,TN-AGK,402006,14,2010,Pointe-Noire,Congo,,9,5,4,9,5,4,Brazzaville,Pointe Noire,0,0,0,0.0,Passenger,March,Monday,Africa
2011-02-14,08:02:00,Central American Airways,731,Let L-410 UVPE-20,HR-AUQ,912603,0,2010,Near Santa Ana Francisco Morazan,Honduras,,14,12,2,14,12,2,San Pedro Sula,Tegucigalpa,0,0,0,0.0,Passenger,February,Monday,North America
2011-02-10,09:45:00,Manx2,7100,Swearingen SA-227BC Metro III,EC-ITP,BC-789B,0,2010,Cork,Ireland,,12,10,2,6,4,2,Belfast,Cork,6,6,0,50.0,Passenger,February,Thursday,Europe
2011-02-08,16:40:00,Majuba Aviation,?,Pilatus PC-12/47,ZS-GAA,858,0,2010,Off Plettenberg Bay,South Africa,,9,7,2,9,7,2,Queenstown,Plettenberg Bay,0,0,0,0.0,Passenger,February,Tuesday,Africa
2011-01-09,19:45:00,Iran Air,277,Boeing B-727-286,EP-IRP,20945/1048,0,2010,Orumiyeh,Iran,,105,93,12,77,65,12,Tehran,Orumiyeh,28,28,0,26.666666666666668,Passenger,January,Sunday,Asia
